,C9,I9,C11,I11,C16,I16,I1,I2,I3,L1,L2,L3,B1,B2,B3
"MSTRG.31082",7336.726013,7693.848449,7831.671081,7561.279663,3499.001587,3290.745422,14376.375,24757.086669,9365.549316,27267.608764,16847.024414,22657.449035,12930.009827,30115.734742,13367.957764
"MSTRG.31083",802.095703,778.294922,903.446899,883.459229,568.37384,468.431519,833.502197,1808.014404,547.645447,2937.988525,1499.608276,2521.049561,2494.191895,6941.556152,2347.519775
"MSTRG.31084",993.744149,948.348695,910.133343,975.522565,849.783509,878.66362,1524.442047,2225.531048,942.749234,2843.913675,1873.950533,2546.59125,524.800437,792.385869,378.016469
"MSTRG.31085",953.353149,963.538391,904.998474,962.326599,1153.451538,1168.378418,1073.769775,1892.476196,764.555481,2166.16333,1892.79834,1990.713623,727.6026,783.719971,513.712524
"MSTRG.31087",3503.282959,3662.468994,3688.307373,3622.949219,3008.276123,2908.543701,3243.119141,6044.748047,2325.818359,4529.608398,3201.08667,3826.912109,3309.323486,3273.056885,2096.646973
"MSTRG.3109",57.516838,64.459488,66.023026,69.902519,56.687897,60.66011,34.59457,57.867294,33.720921,27.589205,26.734541,22.455265,41.501671,42.039112,58.754105
"MSTRG.31092",0.498219,0.146308,0.261681,0.382841,0,0,0.036818,0,0,2.197498,5.877157,2.469627,0.480187,1.155687,0.388414
"MSTRG.31093",0,0,0,0,0,0.386638,1.19492,1.127668,1.264748,562.423313,389.324726,341.178324,90.003659,354.491883,189.209939
"MSTRG.31096",2.718715,2.871283,2.403839,1.597866,2.194747,1.649314,1.214919,6.226994,1.04177,0,0.185763,0.16671,0.282495,0.077602,0.394313
"MSTRG.31099",1.036003,1.484901,1.190202,1.594043,1.881968,2.135904,0.261462,0.203365,0.3075,0.047229,0.080421,0.078754,0.199778,0.262036,0.553393
"MSTRG.3110",9.290965,11.648332,6.698155,7.691813,5.714657,6.609627,2.407379,4.159292,2.386989,1.524617,1.456755,1.179586,2.182177,2.464612,2.89204
"MSTRG.31103",51.39418,73.92643,84.070702,71.335869,59.463787,59.190804,25.572384,30.756533,19.743429,238.748901,206.337967,106.024933,44.230724,45.068348,77.804398
"MSTRG.31104",31.221391,45.422688,27.30722,37.886596,68.394614,70.354231,48.444286,18.986404,38.674843,21.389553,19.214713,11.023749,12.829045,2.376194,8.793688
"MSTRG.31105",0.131176,0.103345,0.038197,0.097328,0.436143,0.274281,0.025481,0.068736,0.039573,0.056855,0.082347,0.062608,1.212003,1.690067,1.130622
"MSTRG.31106",3.66146,3.182852,2.804474,4.408991,1.476934,2.876052,0.550177,1.954093,0.657464,15.814154,16.085363,17.148941,1.408688,0.912829,2.597124
"MSTRG.31112",0.427472,0.62663,0.348463,0.486506,0.551251,0.61312,0.529854,0.790455,0.604915,0.752446,0.809771,0.756547,1.023906,1.004321,1.237865
"MSTRG.31113",10.682096,14.738293,12.749743,13.437921,10.72612,11.518685,5.678571,7.798883,5.841745,3.749331,4.052108,3.375588,10.616667,9.478418,16.717123
"MSTRG.31114",16.592995,21.718648,10.634144,11.618966,8.378508,11.479611,6.241378,14.462695,4.016537,0.857296,0.673875,1.08768,1.314761,1.349462,1.553314
"MSTRG.3112",2.635477,3.230774,1.046039,2.818529,1.604709,2.673796,0.380361,0.953713,0.346697,0,0.110386,0,0,0,0.081046
"MSTRG.31121",46.549282,50.308281,48.926884,50.705868,33.682644,34.684753,25.836918,16.226414,18.366386,30.938326,35.959011,36.557507,43.143559,51.919838,77.481003
"MSTRG.31122",4.108941,3.749705,3.989115,5.479629,3.827783,3.961165,2.050499,8.142713,2.742345,2.459327,2.028116,1.690931,3.601591,4.448912,4.162321
"MSTRG.31123",2.718198,4.423989,4.390441,3.453926,2.476153,1.873848,2.152793,1.309919,1.637375,1.14175,1.234491,0.497685,0.18399,0.284542,0.101806
"MSTRG.31124",1.669814,1.991152,0.821767,1.059583,1.153608,1.571944,1.343148,1.848156,0.715828,1.043005,0.837343,0.893289,4.802329,3.037266,7.589985
"MSTRG.31125",5.342452,6.185721,5.536655,6.618083,5.505254,5.461136,4.005982,4.206856,3.331125,2.736965,2.702404,2.727115,2.586903,3.986633,3.847686
"MSTRG.31126",12.2076,13.534914,6.95177,9.263856,7.495195,13.894351,4.544961,11.180113,4.498338,4.821241,5.274787,4.68531,19.647863,42.279397,36.227692
"MSTRG.31128",3.757253,4.913418,3.77747,4.65401,2.824181,3.136838,2.175145,4.567009,1.832533,1.416532,1.178974,1.36388,0.034586,0.03015,0.021135
"MSTRG.31129",31.334029,34.098173,33.222011,33.789654,31.438964,28.982048,37.245129,49.7191,28.865845,21.883945,23.278328,23.606291,17.840834,22.331129,20.652092
"MSTRG.3113",35.853928,35.468437,39.361683,47.464634,48.616283,39.668625,15.891172,25.354855,10.33925,14.916248,13.222504,12.263542,9.44595,13.811453,15.484886
